                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1431,                 1.1434,                0.86861,                0.06845,                 0.9028,                0.41198,                0.29795,                0.96259,                 2.5113,                0.85561,                0.00046,                0.00046,                0.00046
                      2,                0.89016,                0.62592,                0.84887,                0.98486,                0.33831,                0.66394,                0.45225,                 1.0351,                 1.6993,                 0.8605,             0.00092837,             0.00092837,             0.00092837
                      3,                 0.8434,                 0.5659,                 0.8425,                0.94168,                0.79753,                0.91492,                0.66268,                0.85618,                0.90056,                0.83986,              0.0013849,              0.0013849,              0.0013849
                      4,                0.82969,                0.54307,                0.84228,                0.92773,                 0.8815,                0.93817,                0.67213,                0.76024,                0.62476,                0.82481,              0.0018295,              0.0018295,              0.0018295
                      5,                0.83354,                0.53408,                0.84142,                0.92306,                0.89011,                 0.9396,                0.69291,                0.73756,                0.52973,                0.81916,               0.001901,               0.001901,               0.001901
                      6,                0.76977,                0.49604,                0.83204,                 0.9394,                 0.8892,                0.95349,                0.74791,                0.66871,                0.52375,                0.81443,               0.001901,               0.001901,               0.001901
                      7,                0.77925,                 0.4913,                0.83142,                0.94812,                 0.9132,                 0.9634,                0.75406,                0.65204,                0.45054,                0.81092,              0.0018763,              0.0018763,              0.0018763
                      8,                0.74445,                0.46321,                 0.8311,                0.95465,                0.93641,                0.96814,                0.75979,                0.62174,                0.40358,                0.80871,              0.0018515,              0.0018515,              0.0018515
                      9,                0.72894,                0.44765,                0.82567,                   0.95,                0.91774,                0.95889,                0.75979,                0.63758,                0.40161,                0.80937,              0.0018267,              0.0018267,              0.0018267
                     10,                0.72748,                0.43094,                0.82449,                  0.947,                0.92667,                0.96662,                 0.7652,                0.63839,                0.38583,                0.81224,               0.001802,               0.001802,               0.001802
                     11,                0.71479,                0.41562,                0.82238,                 0.9554,                0.92049,                0.96658,                0.77123,                0.60194,                0.37472,                0.80391,              0.0017772,              0.0017772,              0.0017772
